ts	phase	decision	why	evidence	result
2026-09-20T13:13:16-07:00	frame	Scoped the migration to the Astro renderer and every React-backed component while preserving routes and browser behavior	The site is Astro with three hydrated islands and several server-rendered React components	package.json, astro.config.mjs, src/components, src/pages/experience.astro	open
2026-09-20T13:13:16-07:00	baseline	Captured the existing production build and desktop route screenshots before changing code	The migration needs an old-versus-new behavior and visual reference	/tmp/solidjs-migration-baseline/home.png, /tmp/solidjs-migration-baseline/experience.png	build green, screenshots saved
2026-09-20T13:13:16-07:00	baseline	Recorded the existing local test limitation	The deploy test requires S3 credentials, while the six feedback tests are local and pass	bun test output in transcript	6 pass, 1 pre-existing credential failure
2026-09-20T13:13:16-07:00	baseline	Switched browser evidence from Cypress Electron to system Chromium	The collaborative snapshot call failed and Electron inherited an incompatible ELECTRON_RUN_AS_NODE setting	preview snapshot and Cypress output in transcript	Chromium screenshots saved
2026-09-20T13:19:17-07:00	baseline	Pinned optional email validation, Escape dismissal, nested work-history selection, and keyboard tab navigation in Cypress	These behaviors cross the React-to-Solid boundary and were not covered by the existing suite	cypress/e2e/trevorhibblen.com/welcome.cy.js, cypress/e2e/trevorhibblen.com/experience.cy.js	11 browser tests pass on the React production build
2026-09-20T13:42:33-07:00	design	Selected Kobalte dialog, tabs, and select with native rating radios and checkbox	Kobalte preserves focus, keyboard, portal, and dismissal behavior while native form controls keep the form interface small	/tmp/solidjs-migration/architecture-a.md, /tmp/solidjs-migration/architecture-b.md, /tmp/solidjs-migration/architecture-synthesis.md	independent judge selected candidate A with native-control grafts
2026-09-20T13:42:33-07:00	implementation	Replaced the Astro React renderer and all application React components	The target is an Astro application with Solid islands, not a framework-wide rewrite	astro.config.mjs, package.json, tsconfig.json, src/components, src/pages/experience.astro	no React runtime or React component imports remain
2026-09-20T13:42:33-07:00	implementation	Separated feedback validation, serialization, and retries from the Solid form	The wire contract can be tested without browser or component internals	src/components/feedback/model.ts, src/components/feedback/model.test.ts	7 focused tests pass
2026-09-20T13:42:33-07:00	verification	Built the migrated static site	The real Astro artifact must compile after swapping renderers	bun run build output in transcript	6 routes built from the Solid source
2026-09-20T13:42:33-07:00	verification	Exercised the Solid output in Chromium and removed a client-idle test race	Browser-visible behavior is the migration contract; hydration state is a better readiness signal than sleeps	Cypress output in transcript, cypress/e2e/trevorhibblen.com/*.cy.js	13 browser tests pass, including dialog, validation, ratings, captcha gate, tabs, search, and category filter
2026-09-20T13:47:00-07:00	review	Added deterministic coverage for the reCAPTCHA success callback after independent review	A body-appended challenge stub can exercise the same dialog boundary as Google's external challenge	cypress/e2e/trevorhibblen.com/welcome.cy.js	callback enables submit; external interaction keeps dialog open; dismissal cleans up
2026-09-20T13:42:33-07:00	verification	Verified all three dependency locks without rewriting them	Consumers use Bun, pnpm, and npm paths in this repository	bun install --frozen-lockfile; pnpm install --lockfile-only --frozen-lockfile; npm ci --ignore-scripts --dry-run	all lockfile checks pass
2026-09-20T13:42:33-07:00	verification	Reran the full Bun suite and confirmed its only failure is the recorded deployment credential test	The migration tests should pass while the known external integration remains honestly reported	bun test output in transcript	13 pass, 1 pre-existing S3 credential failure
2026-09-20T13:44:58-07:00	audit	Corrected the verification trail to remove an unavailable TypeScript-check claim	astro check is not installed and prompts for new dependencies, so the completed proof is the production Astro build plus behavior tests	bunx astro check prompt, bun run build, Cypress output in transcript	audit now matches executed evidence
2026-09-20T13:53:03-07:00	review	Resolved final CAPTCHA and rating accessibility findings	Google publishes grecaptcha before render is ready, retains a body-appended challenge, and radio choices need distinct names	src/components/feedback/recaptcha.tsx, src/components/feedback/index.tsx, src/components/rating.tsx, welcome Cypress test	waits for render; ignores late callbacks; relaxes modality only while the external challenge is visibly open; preserves focus containment and backdrop dismissal; names every rating choice
2026-09-20T13:59:10-07:00	audit	Closed the migration after independent final review	All review flags were fixed and the complete Solid artifact was reverified	GPT-6 Codex review, final build, focused Bun tests, full Cypress suite, source scan, git diff check	No flags; work remains unstaged
2026-09-21T15:01:52-07:00	review	Applied verified cross-family review fixes	Correctness, security, conventions, accessibility, blind Claude Opus 5, and bidirectional attacks checked the migration	OpenAI reviewers, Claude Opus 5, Codex review; CodeRabbit returned two candidates before its 240-second timeout	Fixed selector width, scrolling and deselection; feedback focus, errors and exit layout; rating hover, pulse and dark focus; overlay theme token; duplicate xp target
2026-09-21T15:01:52-07:00	verification	Verified review fixes against production output and preserved the concurrent notes-limit test	User chose a 1000-character input cap; removed one incidental-default test and replaced email-copy matching with field-path validation	bun run build; bun test src/components/feedback; Cypress welcome.cy.js and experience.cy.js against dist; browser layout, hover, focus, retry-error and CAPTCHA teardown probes	6 routes built; 12 unit tests passed; 14 browser tests passed
2026-09-21T15:01:52-07:00	audit	Recorded remaining verification limits without changing unrelated code	Live Google localization and cancellation transitions were not established; no repository formatter or linter is configured	tsc --noEmit; src/components/feedback/recaptcha.tsx	Typecheck errors remain in unchanged spike/html-docx.ts, spike/recaptcha.ts and spike/sign.ts; two CAPTCHA candidates remain plausible; review changes left unstaged
